Группа,Понедельник,Вторник,Среда,Четверг,Пятница,Суббота,Воскресенье
П-11,Биология;Литература;Математика;Ин.яз,Всем.ист;Каз.яз;Физра;Физика,Ист.Каз;Информатика;Рус.яз;НВТП,Физра;Биология;Математика/Ин.яз,Математика;Физика;География,Выходной,Выходной
ИС-11,Математика;Всем.ист;Физра;Информатика,Ин.яз;Биология;Физика;Математика,Физра;НВТП/Ин.яз;Ист.Каз,Каз.яз;Рус.лит;Математика;Биология,Физика;География;Рус.яз,Выходной,Выходной
ИС-12,Физра;Математика;Всем.ист,Биология;Физика;Литература;Ин.яз,Информатика;Физра;НВТП/Ин.яз,Биология;Каз.яз;Ист.каз;Математика,География;Рус.яз;Физика;Математика,Выходной,Выходной
АТ-11,Химия;Физра;Ин.яз;Физика,Каз.яз;Всем.ист;Математика,Ин.яз/НВТП;Литература;Математика;Ист.Каз,Физика;Физра;Химия;Рус.яз,Математика;Биология;Информатика,Выходной,Выходной
ВТ-11,Литература;Физика;Химия,Физра;Математика;Всем.ист;Каз.яз,Математика;Ист.Каз;Ин.яз/НВТП,Химия;Физика;Рус.яз;Ин.яз,Информатика;Физра;Математика;Биология,Выходной,Выходной
ЦТ-11,Физика;Химия;Информатика,Математика;Физра;Ин.яз,Рус.лит;Ин.яз/НВТП;Всем.Ист;Математика,Ист.каз;Химия;Каз.яз;Физика,Физра;Математика;Биология;Рус.яз,Выходной,Выходной
УА-11,Всем.ист;Биология;Литература;Математика,Физика;Ин.яз;Каз.яз;Рус.яз,НВТП/Ин.яз;Всем.Ист;Физра;Каз.яз/Рус.лит,Математика;Ист.каз;Физра;Химия,Биология;Информатика,Выходной,Выходной
ВТ-21,Микросхем.;Ин.яз;ЭОКТ;ПОКТ,Физра;ППП;Электроника;АОКТ,ИКТ;Математика;Микротехника;ПОКТ,Физра;Электроника;АОКТ,ПОКТ;Каз.яз;АОКТ,Выходной,Выходной
ВТ-22,ПОКТ;ЭОКТ;Микросхем.;Физра,АОКТ;Электроника;ППП,Математика;Микротехника;ПОКТ;Физра,АОКТ;Ин.яз;Электроника,Каз.яз;АОКТ;ПОКТ;ИКТ,Выходной,Выходной
ЦТ-22,Электроника;ИКТ;Экономика/ОПД;АОКТ,Электроснаб.;ОПД;ПОКТ;Физра,Каз.яз;Охрана;Электроника,Электроснаб./ПОКТ;АОКТ;Ин.яз,Электроника;ПОКТ;Охрана;Физра,Выходной,Выходной
П-22,Ин.яз;ПОКТ;ИКТ,Экономика/ОПД;Физра;АОКТ;Математика,ПОКТ;Каз.яз;Графика;Программирование,Математика;Физра;Дизайн,Программирование;Графика/Дизайн;ОПД;АОКТ,Выходной,Выходной
ИС-22,ИКТ;Физра;ПОКТ,Математика;Физра;Ин.яз,Программирование;Дизайн;Каз.яз;Графика,Ин.яз;Математика;ПОКТ;Физра,АОКТ;ОПД;Графика/Дизайн;Программирование,Выходной,Выходной
УА-22,ОПД;Учет;Ин.яз;Математика,Охрана/ИКТ;Маркетинг/Экономика;Физра,Учет;ИКТ;Экономика,Каз.яз;Учет;Финансы;Математика/Дело,Физра;Охрана;Делопроизводство;Статистика,Выходной,Выходной
УА-31,Философия;Социология;Культурология;Право,Учет/Экономика;Анализ;Физра,Учет;Аудит;Экономика,Анализ;Экономика;Аудит;Учет,Физра;Аудит;Анализ;Учет,Выходной,Выходной
ВТ-24,Базы;Схемотехника;Тех.Прог;С++/ИКТ,Графика;Схемотехника;Физра;Базы данных,Графика;Физра;Схемотехника;Тех.прог,Тех.прог;Графика;Базы данных,Схемотехника;ИКТ;Графика;Базы данных,Выходной,Выходной
ВТ-14,Философия;Социология;Культурология;Право,Числ.методы/Защита;Веб;Алгоритмы;Математика,Математика;Физра;Экономика;Алгоритм,Математика;Защита;Физра,Алгоритмы;Числ.методы;Веб,Выходной,Выходной
УА-24,Учет;Аудит;Физра;Макроэконом.,Налоги/Аудит;Экономика;Психология,Физра;Финансы;Мак.эконом;Аудит,Налоги;Аудит;Учет,Налоги;Аудит;Мик.эконом;Психология,Выходной,Выходной
АТ-22,САП;Графика;Каз.яз;Физра,Моделирование;Математика;Черчение,Моделирование;Оцифровка;ИКТ;Физра,Черчение;Моделирование;Графика;САП/Оцифровка,Моделирование;Математика;Ин.яз,Выходной,Выходной
П-31,ООП;Математика;Охрана;Физра,Алгоритмы;Web;Программирование,ООП;ТРПО;АОКТ;Числ.методы;,Математика;Web/Программирование;ПОиОС;Физра,ООП;Алгоритмы;Охрана,Выходной,Выходной
П-32,Математика;Охрана;ООП,Web;Программирование;Алгоритм;Физра,ТРПО;АОКТ;Числ.методы;ООП,Web/Программирование;ПОиОС;Математика,Алгоритмы;Охрана;ООП;Физра,Выходной,Выходной
П-33,Охрана;ООП;Математика,Программирование;Алгоритм;Web;Физра,АОКТ;Числ.методы;ООП;ТРПО,ПОиОС;Математика;Web/Программирование;Физра,Охрана;ООП;Алгоритмы,Выходной,Выходной
АТ-32,Философия;Оцифровка;Моделирование;Право,Диагностика;Модели;Социология;Физра,Электроника;Обработка;Культурология,Охрана;Диагностика;Моделирование,Модели;Экономика;Электроника;Физра,Выходной,Выходной
П-42,Защита;Моб.прил/Сети;Культурология;Физра,Философия;Экономика;Прог./Модел,Моб.прил;Сети;Базы данных;Физра,Социология;Экономика;ОПД;Моделорование,Защита;Программирование;Сети;Право,Выходной,Выходной
П-43,Культурология;Защита;Моб.прил/Сети;Физра,Прог./Модел.;Философия;Экономика;Физра,Сети;Базы данных;Моб.прил,Экономика;Моделирование;Социология;ОПД,Право;Сети;Программирование;Защита,Выходной,Выходной
ИС-32,Каз.яз;Социология;Мультимедия;Защита,АИС;Каз.яз;Каз.яз;Философия,Ин.яз;Культурология;Учет;Физра,АИС;Право;;Физра,Ин.яз;ЭИиИТ;Эконом.теория;Ин.яз,Выходной,Выходной